256	22	32	1031	747
1	8
1	7
1	6
1	5
1	4
1	3
1	2
1	1
2	1
2	2
2	3
2	4
2	5
2	6
2	7
2	8
3	8
3	7
3	6
3	5
3	4
3	3
3	2
3	1
4	1
4	2
4	3
4	4
4	5
4	6
4	7
4	8
5	8
5	7
5	6
5	5
5	4
5	3
5	2
5	1
6	1
6	2
6	3
6	4
6	5
6	6
6	7
6	8
7	8
7	7
7	6
7	5
7	4
7	3
7	2
7	1
8	1
8	2
8	3
8	4
8	5
8	6
8	7
8	8
9	8
9	7
9	6
9	5
9	4
9	3
9	2
9	1
10	1
10	2
10	3
10	4
10	5
10	6
10	7
10	8
11	8
11	7
11	6
11	5
11	4
11	3
11	2
11	1
12	1
12	2
12	3
12	4
12	5
12	6
12	7
12	8
13	8
13	7
13	6
13	5
13	4
13	3
13	2
13	1
14	1
14	2
14	3
14	4
14	5
14	6
14	7
14	8
15	8
15	7
15	6
15	5
15	4
15	3
15	2
15	1
16	1
16	2
16	3
16	4
16	5
16	6
16	7
16	8
17	8
17	7
17	6
17	5
17	4
17	3
17	2
17	1
18	1
18	2
18	3
18	4
18	5
18	6
18	7
18	8
19	8
19	7
19	6
19	5
19	4
19	3
19	2
19	1
20	1
20	2
20	3
20	4
20	5
20	6
20	7
20	8
21	8
21	7
21	6
21	5
21	4
21	3
21	2
21	1
22	1
22	2
22	3
22	4
22	5
22	6
22	7
22	8
23	8
23	7
23	6
23	5
23	4
23	3
23	2
23	1
24	1
24	2
24	3
24	4
24	5
24	6
24	7
24	8
25	8
25	7
25	6
25	5
25	4
25	3
25	2
25	1
26	1
26	2
26	3
26	4
26	5
26	6
26	7
26	8
27	8
27	7
27	6
27	5
27	4
27	3
27	2
27	1
28	1
28	2
28	3
28	4
28	5
28	6
28	7
28	8
29	8
29	7
29	6
29	5
29	4
29	3
29	2
29	1
30	1
30	2
30	3
30	4
30	5
30	6
30	7
30	8
31	8
31	7
31	6
31	5
31	4
31	3
31	2
31	1
32	1
32	2
32	3
32	4
32	5
32	6
32	7
32	8
